Sample_ID,Sample_No_EIA,1st_%CV
398,171,1.031
399,172,2.961
400,173,5.816
401,174,3.103
402,175,4.72
403,176,15.922
404,177,6.063
405,178,1.009
406,179,1.28
407,180,1.048
408,181,8.028
409,182,2.152
410,183,14.223
411,184,4.974
412,185,2.327
413,186,0.548
414,187,1.331
415,188,7.67
416,189,0.406
417,190,4.032
418,191,1.791
419,192,2.115
420,193,4.307
421,194,10.501
422,195,4.087
423,196,11.587
424,197,7.256
425,198,0.121
426,199,4.37
427,200,6.137
428,201,2.043
429,202,3.908
430,203,3.395
431,204,1.637
432,205,7.009
433,206,4.711
434,207,3.798
435,208,1.086
436,209,3.054
437,210,7.606
438,211,0.77
439,212,1.71
440,213,0.154
441,214,0.982
442,215,2.039
443,216,3.042
444,217,2.09
445,218,3.392
446,219,2.707
447,220,0.657
448,221,9.975
449,222,0.102
450,223,5.516
451,224,5.798
452,225,1.745
453,226,1.5
454,227,0.953
455,228,6.288
456,229,5.57
457,230,2.616
458,231,3.148
459,232,1.405
460,233,1.707
461,234,11.434
462,235,3.141
463,236,6.428
464,237,2.84
465,238,0.086
466,239,15.422
467,240,1.284
468,241,1.145
469,242,5.878
470,243,13.004
471,244,1.537
472,245,1.419
473,246,6.447
474,247,0.772
475,248,6.356
476,249,4.726
477,250,2.567
478,251,6.493
479,252,6.327
480,253,7.558
481,254,10.004
482,255,5.765
483,256,2.558
484,257,4.64
485,258,3.558
486,259,1.72
487,260,3.824
488,261,11.35
489,262,3.59
490,263,4.395
491,264,0.511
492,265,11.222
493,266,4.282
494,267,2.513
495,268,2.727
496,269,14.275
497,270,1.472
498,271,1.151
499,272,1.721
500,273,9.718
501,274,0.113
502,275,8.129
503,276,3.086
504,277,9.447
505,278,7.589
506,279,12.648
507,280,1.204
508,281,8.377
509,282,6.869
510,283,2.105
511,284,2.32
512,285,1.229
513,286,5.866
514,287,11.26
515,288,2.105
516,289,2.364
517,290,17.007
518,291,8.283
519,292,6.775
520,293,4.824
521,294,10.963
522,295,7.013
523,296,29.534
524,297,10.102
525,298,4.453
526,299,6.327
527,300,2.094
528,301,7.95
529,302,3.6
530,303,4.523
531,304,0.606
532,305,0.612
533,306,0.88
534,307,0.85
535,308,15.951
536,309,4.538
537,310,11.336
538,311,2.399
539,312,2.633
540,313,10.728
541,314,10.269
542,315,3.428
543,316,18.874
544,317,3.478
545,318,5.197
546,319,0.598
547,320,3.367
548,321,3.024
549,322,2.25
550,323,2.25
551,324,0.239
552,325,15.616
553,326,6.247
554,327,0.654
555,328,2.97
556,329,4.428
557,330,1.959
558,331,10.181
559,332,12.24
560,333,5.272
561,334,4.415
562,335,0.137
563,336,2.663
564,337,6.586
565,338,6.035
566,339,7.071
567,340,2.274
568,341,0
569,342,15.181
570,343,5.492
571,344,4.91
572,345,7.751
573,346,0.135
574,347,8.857
575,348,0.449
576,349,1.7
577,350,3.576
578,351,5.354
579,352,9.119
580,353,2.566
581,354,0.674
582,355,5.684
583,356,5.736
584,357,2.408
585,358,1.224
586,359,14.281
587,360,8.012
588,361,5.427
589,362,1.688
590,363,16.383
591,364,2.886
592,365,2.64
593,366,8.693
594,367,7.332
595,368,0.501
596,369,3.467
597,370,7.451
598,371,1.43
599,372,4.858
600,373,21.769
601,374,0.166
602,375,6.026
603,376,6.321
604,377,10.515
605,378,8.727
606,379,2.999
607,380,7.626
608,381,2.178
609,382,0.712
610,383,0.501
611,384,3.827
612,385,3.132
613,386,1.806
614,387,6.61
615,388,0.552
616,389,2.104
617,390,12.617
618,391,2.817
619,392,0.635
620,393,0.151
621,394,5.244
622,395,1.519
623,396,2.747
624,397,2.821
625,398,4.691
626,399,4.621
627,400,4.579
628,401,2.605
629,402,13.088
630,403,2.031
631,404,2.678
632,405,3.384
633,406,8.312
634,407,3.002
635,408,1.421
636,409,4.441
637,410,1.957
638,411,5.546
639,412,5.296
640,413,6.123
641,414,3.462
642,415,0.879
643,416,3.101
644,417,1.018
645,418,3.69
646,419,0.639
647,420,5.702
648,421,2.361
649,422,13.646
650,423,5.627
651,424,0
652,425,6.074
653,426,0.382
654,427,3.797
655,428,3.549
656,429,3.063
657,430,1.434
658,431,0.882
659,432,2.005
660,433,10.108
661,434,0.358
662,435,0
663,436,4.411
664,437,15.025
665,438,3.596
666,439,6.438
667,440,4.113
668,441,1.704
669,442,2.156
670,443,16.573
671,444,7.527
672,445,2.428
673,446,7.269
674,447,2.808
675,448,3.229
676,449,0.804
677,450,0.764
678,451,2.52
679,452,2.915
680,453,1.106
681,454,6.293
682,455,4.807
683,456,6.752
684,457,1.937
685,458,4.325
686,459,4.334
687,460,6.716
688,461,3.58
689,462,0.877
690,463,2.258
691,464,10.109
692,465,2.844
693,466,7.167
694,467,3.378
695,468,1.232
696,469,3.87
697,470,0.439
698,471,1.54
699,472,15.6
700,473,1.713
701,474,0.329
702,475,0.732
703,476,18.979
704,477,3.033
705,478,14.952
706,479,11.254
707,480,2.02
708,481,1.571
709,482,3.964
710,483,6.154
711,484,6.502
712,485,7.078
713,486,10.637
714,487,6.334
715,488,14.566
716,489,4.521
717,490,11.148
718,491,1.068
719,492,9.715
720,493,6.191
721,494,2.877
722,495,6.967
723,496,12.894
724,497,7.399
725,498,9.472
726,499,6.131
727,500,0.551
728,501,0.429
729,502,23.242
730,503,2.323
731,504,0.964
732,505,0.382
733,506,38.467
734,507,6.414
735,508,3.237
736,509,2.375
737,510,2.955
738,511,7.249
739,512,5.784
740,513,4.802
741,514,4.243
742,515,0.619
743,516,1.464
744,517,0.699
745,518,2.831
746,519,6.239
747,520,0.129
748,521,19.763
749,522,4.541
750,523,0.395
751,524,4.835
752,525,6.302
753,526,16.774
754,527,7.27
755,528,3.087
756,529,5.527
757,530,1.595
758,531,3.367
759,532,8.302
760,533,6.584
761,534,0.746
762,535,2.946
763,536,2.467
764,537,1.278
765,538,8.688
766,539,4.592
767,540,2.873
768,541,5.506
769,542,0.475
770,543,2.242
771,544,3.855
772,545,5.58
773,546,5.889
774,547,2.312
775,548,2.341
776,549,3.472
777,550,7.505
778,551,2.497
779,552,1.297
780,553,7.312
781,554,0.581
782,555,1.231
783,556,6.59
784,557,7.376
785,558,10.61
786,559,2.95
787,560,0.848
788,561,1.585
789,562,7.755
790,563,0.114
791,564,4.474
792,565,3.982
793,566,4.684
794,567,7.344
795,568,6.158
796,569,6.804
797,570,6.141
798,571,6.754
799,572,5.102
800,573,3.606
801,574,1.17
802,575,0.398
803,576,1.249
804,577,6.02
805,578,1.728
806,579,7.246
807,580,11.38
808,581,5.653
809,582,1.519
810,583,0.112
811,584,7.39
812,585,0.115
813,586,11.824
814,587,27.985
815,588,9.303
816,589,1.284
817,590,10.998
818,591,3.214
819,592,7.492
820,593,8.265
821,594,0.711
822,595,9
823,596,9.695
824,597,0.193
825,598,1.036
826,599,3.595
827,600,0.081
828,601,4.88
829,602,1.033
830,603,0.622
831,604,0.746
832,605,10.619
833,606,1.231
834,607,0.812
835,608,7.332
836,609,1.709
837,610,0.521
838,611,8.499
839,612,5.366
840,613,5.366
841,614,5.971
842,615,4.347
843,616,0.669
844,617,7.353
845,618,4.732
846,619,7.303
847,620,3.392
848,621,5.089
849,622,24.04
850,623,11.291
851,624,1.426
852,625,2.001
853,626,1.358
854,627,3.777
855,628,2.071
856,629,6.492
857,630,8.045
858,631,6.487
859,632,2.936
860,633,0.477
861,634,0.81
862,635,10.411
863,636,4.782
864,637,4.824
865,638,1.72
866,639,4.744
867,640,2.397
868,641,5.125
869,642,5.385
870,643,9.065
871,644,7.511
872,645,1.237
873,646,5.426
874,647,6.48
875,648,1.093
876,649,11.261
877,650,10.755
878,651,1.481
879,652,7.857
880,653,7.221
881,654,4.261
882,655,4.604
883,656,4.877
884,657,20.479
885,658,6.149
886,659,2.397
887,660,5.738
888,661,6.192
889,662,0.942
890,663,1.811
891,664,5.488
892,665,7.349
893,666,8.117
894,667,0.775
895,668,6.236
896,669,2.127
897,670,9.124
898,671,8.093
899,672,0.654
900,673,1.378
901,674,0
902,675,9.951
903,676,0.325
904,677,1.129
905,678,1.771
906,679,1.93
907,680,1.849
908,681,7.899
909,682,7.638
910,683,0.95
911,684,16.357
912,685,9.939
913,686,5.765
914,687,1.458
915,688,3.106
916,689,4.199
917,690,4.392
918,691,5.765
919,692,23.853
920,693,12.067
921,694,0.633
922,695,1.76
923,696,6.455
924,697,15.443
925,698,6.436
926,699,0.63
927,700,4.089
928,701,8.915
929,702,0.462
930,703,4.11
931,704,6.734
932,705,10.546
933,706,5.034
934,707,3.293
935,708,5.462
936,709,6.109
937,710,6.06
938,711,0.404
939,712,1.271
940,713,2.62
941,714,1.296
942,715,0.93
943,716,1.32
944,717,10.14
945,718,0.095
946,719,10.066
947,720,4.13
948,721,7.469
949,722,0.816
950,723,2.975
951,724,0.897
952,725,4.013
953,726,0
954,727,24.638
955,728,6.576
956,729,0.848
957,730,6.8
958,731,10.265
959,732,3.596
960,733,7.564
961,734,1.432
962,735,5.208
963,736,8.884
964,737,7.051
965,738,1.393
